ID_Spec,Catalogue Number,AccName,TreeName2,Order,Family,Genus,SO,EF,SpeLab,DepthMin,DepthMax,DepthAve,IUCN,DepthCat3,Mov
'Platyrhinoidis sp NCat08.jpg',USNM 26275 ,Platyrhinoidis triseriata ,Platyrhinoidis_triseriata,Torpediniformes,Platyrhinidae,Platyrhinoidis,Bat,Extant,Pidis_tri,0,137,68.5,LC,Shelf,Undul
'Platyrhinoidis triseriata USNMRAD 109877001.jpg',USNM RAD 109877 ,Platyrhinoidis triseriata ,Platyrhinoidis_triseriata,Torpediniformes,Platyrhinidae,Platyrhinoidis,Bat,Extant,Pidis_tri,0,137,68.5,LC,Shelf,Undul
'Pleisiotrygon iwamae FMNH 94500.jpg',FMNH 94500,Plesiotrygon iwamae ,Plesiotrygon_iwamae,Myliobatiformes,Potamotrygonidae,Plesiotrygon,Bat,Extant,Plesi_iwa,20,50,35,DD,FreshW,Undul
'Pliotrema warreni BMNH 1905689.jpg',NHMUK ZOO 1905.6.8.9 ,Pliotrema warreni ,Pliotrema_warreni,Pristiophoriformes,Pristiophoridae,Pliotrema,Sel,Extant,Pliot_war,10,915,462.5,LC,Deep,AxUnd
'Pliotrema warreni USNMRAD 109870-001.jpg',USNM RAD 109870 ,Pliotrema warreni ,Pliotrema_warreni,Pristiophoriformes,Pristiophoridae,Pliotrema,Sel,Extant,Pliot_war,10,915,462.5,LC,Deep,AxUnd
'Potamotrygon boesemani USNMRAD 225574.jpg',USNM 225574 ,Potamotrygon boesemani ,Potamotrygon_boesemani,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_boe,0,10,5,NE,FreshW,Undul
'Potamotrygon circularis MCZIchS 291.jpg',MCZ Ichthyology S-291,Potamotrygon constellata ,Potamotrygon_constellata,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_con,0,15,7.5,DD,FreshW,Undul
'Potamotrygon humboldti USNMRAD 123658.jpg',USNM 123658 ,Potamotrygon hystrix ,Potamotrygon_hystrix,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_hys,0,10,5,DD,FreshW,Undul
'Potamotrygon humerosus MCZIchS 299.jpg',MCZ Ichthyology S-299,Potamotrygon humerosa ,Potamotrygon_humerosa,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_hum,0,20,10,NE,FreshW,Undul
'Potamotrygon hystrix BMNH 19349121.jpg',NHMUK ZOO 1934.9.12.1,Potamotrygon hystrix ,Potamotrygon_hystrix,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_hys,0,10,5,DD,FreshW,Undul
'Potamotrygon laticeps USNMRAD 109944-001.jpg',USNM RAD 109944 ,Potamotrygon motoro ,Potamotrygon_motoro,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_mot,0,10,5,DD,FreshW,Undul
'Potamotrygon leopoldi Fidji.png',Scan upon request,Potamotrygon leopoldi ,Potamotrygon_leopoldi,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_leo,0,10,5,VU,FreshW,Undul
'Potamotrygon signatus USNMRAD 109945-001.jpg',USNM RAD 109945 ,Potamotrygon signata ,Potamotrygon_signata,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_sig,0,10,5,DD,FreshW,Undul
'Potamotrygon yepezi USNMRAD 121659 1.jpg',USNM 121659 ,Potamotrygon yepezi ,Potamotrygon_yepezi,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_yep,0,20,10,DD,FreshW,Undul
'Potamotrygon yepezi USNMRAD 121659 2.jpg',USNM 121659 ,Potamotrygon yepezi ,Potamotrygon_yepezi,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_yep,0,20,10,DD,FreshW,Undul
'Potamotrygon yepezi USNMRAD 121660.jpg',USNM 121660 ,Potamotrygon yepezi ,Potamotrygon_yepezi,Myliobatiformes,Potamotrygonidae,Potamotrygon,Bat,Extant,Potam_yep,0,20,10,DD,FreshW,Undul
'Pristiophorus japonicus USNMRAD 109869-001.jpg',USNM RAD 109869 ,Pristiophorus japonicus,Pristiophorus_japonicus,Pristiophoriformes,Pristiophoridae,Pristiophorus,Sel,Extant,Pphor_jap,0,500,250,LC,Deep,AxUnd
'Pristiophorus lanae CAS-ICH 34930.jpg',CAS-ICH 34930,Pristiophorus lanae ,Pristiophorus_lanae,Pristiophoriformes,Pristiophoridae,Pristiophorus,Sel,Extant,Pphor_lan,29,593,311,NT,Shelf,AxUnd
'Pristiophorus nudipinnis USNMRAD 107108-001.jpg',USNM RAD 107108 ,Pristiophorus nudipinnis ,Pristiophorus_nudipinnis,Pristiophoriformes,Pristiophoridae,Pristiophorus,Sel,Extant,Pphor_nud,37,165,101,LC,Shelf,AxUnd
'Pristis microdon 8188_X229_FMNH_FZ_b.jpg',FMNH 8188,Pristis pristis ,Pristis_pristis,Rhinopristiformes,Pristidae,Pristis,Bat,Extant,Prist_pri,1,26,13.5,CR,Shelf,AxUnd
'Pristis microdon 8192_X217_FMNH_FZ.jpg',FMNH 8192,Pristis pristis ,Pristis_pristis,Rhinopristiformes,Pristidae,Pristis,Bat,Extant,Prist_pri,1,26,13.5,CR,Shelf,AxUnd
'Pristis pectinata 1939_X207 FMNH-FZ.jpg',FMNH 1939,Pristis pectinata,Pristis_pectinata,Rhinopristiformes,Pristidae,Pristis,Bat,Extant,Prist_pec,10,88,49,CR,Shelf,AxUnd
'Pristis pectinata MCZIchS 105.jpg',MCZ Ichthyology S-105,Pristis pectinata,Pristis_pectinata,Rhinopristiformes,Pristidae,Pristis,Bat,Extant,Prist_pec,10,88,49,CR,Shelf,AxUnd
'Pristis pectinata USNMRAD 42374.jpg',USNM 42374 ,Pristis pectinata,Pristis_pectinata,Rhinopristiformes,Pristidae,Pristis,Bat,Extant,Prist_pec,10,88,49,CR,Shelf,AxUnd
'Psammobatis rudis USNMRAD 124839-001.jpg',USNM RAD 124839 ,Psammobatis rudis ,Psammobatis_rudis,Rajiformes,Arhynchobatidae,Psammobatis,Bat,Extant,Psamm_rud,30,475,252.5,LC,Shelf,Undul
'Psammobatis scobina USNMRAD 176491.jpg',USNM 176491 ,Psammobatis scobina ,Psammobatis_scobina,Rajiformes,Arhynchobatidae,Psammobatis,Bat,Extant,Psamm_sco,40,450,245,LC,Shelf,Undul
