AccName,TreeName2,Order,OrderFos,Family,Genus,SO,EF,SpeLab,DepthCat3,Mov
Pristis pristis ,Pristis_pristis,Rhinopristiformes,Rhinopristiformes,Pristidae,Pristis,Bat,Extant,Prist_pri,Shelf,AxUnd
Protospinax annectans,Protospinax_annectans,JrSqua,Squatiniformes,,Protospinax,Sel,Fossil,Proto_ann,Reef,AxUnd
Psammobatis rudis ,Psammobatis_rudis,Rajiformes,Rajiformes,Arhynchobatidae,Psammobatis,Bat,Extant,Psamm_rud,Shelf,Undul
Psammobatis scobina ,Psammobatis_scobina,Rajiformes,Rajiformes,Arhynchobatidae,Psammobatis,Bat,Extant,Psamm_sco,Shelf,Undul
Pseudoraja fischeri ,Pseudoraja_fischeri,Rajiformes,Rajiformes,Arhynchobatidae,Pseudoraja,Bat,Extant,Psraj_fis,Deep,Undul
Pseudorhina acanthoderma,Pseudorhina_acanthoderma,JrSqua,Squatiniformes,,Pseudorhina,Sel,Fossil,Prhin_aca,Reef,AxUnd
Pseudorhina alifera,Pseudorhina_alifera,JrSqua,Squatiniformes,,Pseudorhina,Sel,Fossil,Prhin_ali,Reef,AxUnd
Aetomylaeus asperrimus,Pteromylaeus_asperrimus,Myliobatiformes,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_asp,Shelf,Oscil
Aetomylaeus bovinus,Pteromylaeus_bovinus,Myliobatiformes,Myliobatiformes,Myliobatidae,Aetomylaeus,Bat,Extant,Aetom_bov,Shelf,Oscil
Ptychotrygon rostrispatula,Ptychotrygon_rostrispatula,CrScle,Schlerorhynch,,Ptychotrygon,Bat,Fossil,Ptych_ros,Shelf,AxUnd
Raja clavata ,Raja_clavata,Rajiformes,Rajiformes,Rajidae,Raja,Bat,Extant,Raja_clav,Deep,Undul
Rostroraja eglanteria,Raja_eglanteria,Rajiformes,Rajiformes,Rajidae,Rostroraja,Bat,Extant,Rostr_egl,Shelf,Undul
Rostroraja equatorialis ,Raja_equatorialis,Rajiformes,Rajiformes,Rajidae,Rostroraja,Bat,Extant,Rostr_equ,Shelf,Undul
Caliraja rhina ,Raja_rhina,Rajiformes,Rajiformes,Rajidae,Caliraja,Bat,Extant,Calir_rhi,Deep,Undul
Caliraja stellulata,Raja_stellulata,Rajiformes,Rajiformes,Rajidae,Raja,Bat,Extant,Calir_ste,Deep,Undul
Rajella bigelowi ,Rajella_bigelowi,Rajiformes,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_big,Deep,Undul
Rajella caudaspinosa ,Rajella_caudaspinosa,Rajiformes,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_cau,Deep,Undul
Rajella eisenhardti,Rajella_eisenhardti,Rajiformes,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_eis,Deep,Undul
Rajella fuliginea ,Rajella_fuliginea,Rajiformes,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_ful,Deep,Undul
Rajella nigerrima ,Rajella_nigerrima,Rajiformes,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_nig,Deep,Undul
Rajella purpiriventralis,Rajella_purpuriventralis,Rajiformes,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_pur,Deep,Undul
Rhina ancylostomus ,Rhina_ancylostoma,Rhinopristiformes,Rhinopristiformes,Rhinidae,Rhina,Bat,Extant,Rhina_anc,Reef,AxUnd
Rhinobatos annandalei ,Rhinobatos_annandalei,Rhinopristiformes,Rhinopristiformes,Rhinobatidae,Rhinobatos,Bat,Extant,Rhbat_ann,Shelf,AxUnd
Pseudobatos glaucostigma ,Rhinobatos_glaucostigma,Rhinopristiformes,Rhinopristiformes,Rhinobatidae,Pseudobatos,Bat,Extant,Psbat_gla,Shelf,AxUnd
Rhinobatos holcorhynchus ,Rhinobatos_holcorhynchus,Rhinopristiformes,Rhinopristiformes,Rhinobatidae,Rhinobatos,Bat,Extant,Rhbat_hol,Shelf,AxUnd
Rhinobatos lionotus ,Rhinobatos_lionotus,Rhinopristiformes,Rhinopristiformes,Rhinobatidae,Rhinobatos,Bat,Extant,Rhbat_lio,Shelf,AxUnd
Rhinobatos maronita,Rhinobatos_maronita,CrRhin,Rhinopristiformes,,Rhinobatos,Bat,Fossil,Rhbat_mar,Shelf,AxUnd
